Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2024,Volvo,VVX,Volvo,XC60 T8 AWD Recharge Extended Range,202211,2,1.969,NVVXJ02.0P3L,Both,312,4,H6_1,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,5000,3.33,26.7,1,Not eqipped,NVVX10072933,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.007,0.32,244,0.004,0.0008,0.0024,0.0002,36.1000000,MPG,22.3602,67.5133,24.4594,75.6743,-0.94,-0.48,-1.04,41.140,0.35390,0.023030,-1.268,0.41240,0.020571,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volvo,VVX,Volvo,XC60 T8 AWD Recharge Extended Range,202211,2,1.969,NVVXJ02.0P3L,Both,312,4,H6_1,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,5000,3.33,26.7,1,Not eqipped,NVVX10072934,MFR,No,,,,,81,Charge Depleting UDDS,61,Tier 2 Cert Gasoline,CD,,,,,,,,,MPG,,,,,,,,41.140,0.35390,0.023030,-1.268,0.41240,0.020571,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volvo,VVX,Volvo,XC90 B5 AWD,202415,0,1.969,RVVXJ02.0U70,Both,247,4,L1_1,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,5000,3.33,25.6,1,Not eqipped,RVVX10080262,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.002,0.09,225,0.001,0.0002,0.0012,0.0003,39.4000000,MPG,,,,,1.15,0.7,-0.58,33.910,0.22390,0.027150,13.839,0.27221,0.025658,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volvo,VVX,Volvo,XC90 B5 AWD,202415,0,1.969,RVVXJ02.0U70,Both,247,4,L1_1,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,5000,3.33,25.6,1,Not eqipped,RVVX10080263,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.012,0.22,318,0.009,0.0009,0.0047,0.0008,27.8000000,MPG,26.0985,27.5036,29.9983,27.5101,-0.89,-0.41,-1.32,33.910,0.22390,0.027150,13.839,0.27221,0.025658,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volvo,VVX,Volvo,XC90 B5 AWD,202415,1,1.969,RVVXJ02.0U70,Both,247,4,L1_1,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,5000,3.33,25.7,1,Not eqipped,RVVX10080264,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.013,0.24,320,0.01,0.0011,0.0041,0.0001,27.7000000,MPG,26.2579,27.1871,29.5094,27.4076,0.56,0.41,-0.98,39.790,0.22390,0.027150,19.800,0.31147,0.025322,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volvo,VVX,Volvo,XC90 B5 AWD,202415,1,1.969,RVVXJ02.0U70,Both,247,4,L1_1,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,5000,3.33,25.7,1,Not eqipped,RVVX10080265,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.001,0.14,230,0.001,0.0001,0.0004,0,38.5000000,MPG,,,,,-4.71,-4.02,-0.49,39.790,0.22390,0.027150,19.800,0.31147,0.025322,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volvo,VVX,Volvo,XC90 B6 AWD,202421,0,1.969,RVVXJ02.0S30,Both,295,4,06_1,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,5000,3.33,25.7,1,Not eqipped,RVVX91005436,EPA,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.002029,0.1328313,241.6403656,0.0007964,,0.0016421,0.0000531,36.8000000,MPG,,,,,6.4409695,4.8862467,0.2512992,39.790,0.22390,0.027150,15.011,0.23898,0.026168,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volvo,VVX,Volvo,XC90 B6 AWD,202421,0,1.969,RVVXJ02.0S30,Both,295,4,06_1,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,5000,3.33,25.7,1,Not eqipped,RVVX91005450,EPA,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0101613,0.3176698,344.221344,0.0046415,,0.0023767,0.0002947,25.9000000,MPG,24.792202,25.027771,28.2200775,25.2663307,0.3150985,0.2650149,-0.8527569,39.790,0.22390,0.027150,15.011,0.23898,0.026168,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volvo,VVX,Volvo,XC90 T8 AWD Recharge,202308,0,1.969,PVVXJ02.0P30,Both,312,4,H6_1,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,5500,3.33,26.2,1,Not eqipped,PVVX10073981,MFR,No,,,,,84,Charge Depleting Highway,61,Tier 2 Cert Gasoline,CD,,,,,,,,,MPG,,,,,,,,42.510,0.35400,0.024820,0.000,0.07080,0.024820,TWC,Three-way catalyst,N,,,N,No averaging
2024,Volvo,VVX,Volvo,XC90 T8 AWD Recharge,202308,0,1.969,PVVXJ02.0P30,Both,312,4,H6_1,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,5500,3.33,26.2,1,Not eqipped,PVVX10073983,MFR,No,,,,,81,Charge Depleting UDDS,61,Tier 2 Cert Gasoline,CD,,,,,,,,,MPG,,,,,,,,42.510,0.35400,0.024820,0.000,0.07080,0.024820,TWC,Three-way catalyst,N,,,N,No averaging
